trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
20816958-2013-COMBMAST-Weekday-17,8:04:00,8:04:00,4531,56,0,0
20808627-2013-COMBMAST-Weekday-17,8:05:00,8:05:00,4531,42,0,0
20815607-2013-COMBMAST-Weekday-17,8:06:00,8:06:00,4531,21,0,0
20816925-2013-COMBMAST-Weekday-17,8:06:00,8:06:00,4531,5,0,0
20814989-2013-COMBMAST-Weekday-17,8:08:00,8:08:00,4531,28,0,0
20808260-2013-COMBMAST-Weekday-17,8:10:00,8:10:00,4531,41,0,0
20816687-2013-COMBMAST-Weekday-17,8:11:00,8:11:00,4531,31,0,0
20817318-2013-COMBMAST-Weekday-17,8:11:00,8:11:00,4531,29,0,0
20808478-2013-COMBMAST-Weekday-17,8:12:00,8:12:00,4531,6,0,0
20815602-2013-COMBMAST-Weekday-17,8:13:00,8:13:00,4531,11,0,0
20816394-2013-COMBMAST-Weekday-17,8:13:00,8:13:00,4531,27,0,0
20808324-2013-COMBMAST-Weekday-17,8:16:00,8:16:00,4531,20,0,0
20817588-2013-COMBMAST-Weekday-17,8:16:00,8:16:00,4531,5,0,0
20808584-2013-COMBMAST-Weekday-17,8:18:00,8:18:00,4531,31,0,0
20807915-2013-COMBMAST-Weekday-17,8:20:00,8:20:00,4531,38,0,0
20817392-2013-COMBMAST-Weekday-17,8:22:00,8:22:00,4531,36,0,0
20816617-2013-COMBMAST-Weekday-17,8:23:00,8:23:00,4531,20,0,0
20807787-2013-COMBMAST-Weekday-17,8:25:00,8:25:00,4531,42,0,0
20815003-2013-COMBMAST-Weekday-17,8:25:00,8:25:00,4531,5,0,0
20807410-2013-COMBMAST-Weekday-17,8:27:00,8:27:00,4531,31,0,0
20815626-2013-COMBMAST-Weekday-17,8:28:00,8:28:00,4531,44,0,0
20815763-2013-COMBMAST-Weekday-17,8:28:00,8:28:00,4531,8,0,0
20815794-2013-COMBMAST-Weekday-17,8:28:00,8:28:00,4531,20,0,0
20808340-2013-COMBMAST-Weekday-17,8:29:00,8:29:00,4531,37,0,0
20815945-2013-COMBMAST-Weekday-17,8:30:00,8:30:00,4531,56,0,0
20815846-2013-COMBMAST-Weekday-17,8:31:00,8:31:00,4531,12,0,0
20817093-2013-COMBMAST-Weekday-17,8:31:00,8:31:00,4531,28,0,0
20807482-2013-COMBMAST-Weekday-17,8:33:00,8:33:00,4531,42,0,0
20807691-2013-COMBMAST-Weekday-17,8:35:00,8:35:00,4531,41,0,0
20817081-2013-COMBMAST-Weekday-17,8:35:00,8:35:00,4531,5,0,0
20814444-2013-COMBMAST-Weekday-17,8:36:00,8:36:00,4531,31,0,0
20815813-2013-COMBMAST-Weekday-17,8:38:00,8:38:00,4531,27,0,0
20817154-2013-COMBMAST-Weekday-17,8:38:00,8:38:00,4531,38,0,0
20817140-2013-COMBMAST-Weekday-17,8:39:00,8:39:00,4531,20,0,0
20808030-2013-COMBMAST-Weekday-17,8:40:00,8:40:00,4531,42,0,0
20808200-2013-COMBMAST-Weekday-17,8:41:00,8:41:00,4531,12,0,0
20808769-2013-COMBMAST-Weekday-17,8:43:00,8:43:00,4531,8,0,0
20808364-2013-COMBMAST-Weekday-17,8:44:00,8:44:00,4531,37,0,0
20810212-2013-COMBMAST-Weekday-17,8:44:00,8:44:00,4531,12,0,0
20816720-2013-COMBMAST-Weekday-17,8:44:00,8:44:00,4531,5,0,0
20806852-2013-COMBMAST-Weekday-17,8:46:00,8:46:00,4531,6,0,0
20816935-2013-COMBMAST-Weekday-17,8:46:00,8:46:00,4531,31,0,0
20808311-2013-COMBMAST-Weekday-17,8:48:00,8:48:00,4531,44,0,0
20815604-2013-COMBMAST-Weekday-17,8:51:00,8:51:00,4531,11,0,0
20816808-2013-COMBMAST-Weekday-17,8:53:00,8:53:00,4531,20,0,0
20809097-2013-COMBMAST-Weekday-17,8:54:00,8:54:00,4531,20,0,0
20815143-2013-COMBMAST-Weekday-17,8:54:00,8:54:00,4531,31,0,0
20807809-2013-COMBMAST-Weekday-17,8:55:00,8:55:00,4531,56,0,0
20807658-2013-COMBMAST-Weekday-17,8:56:00,8:56:00,4531,21,0,0
20808155-2013-COMBMAST-Weekday-17,8:57:00,8:57:00,4531,12,0,0
20808431-2013-COMBMAST-Weekday-17,8:58:00,8:58:00,4531,38,0,0
20816878-2013-COMBMAST-Weekday-17,8:58:00,8:58:00,4531,5,0,0
20808215-2013-COMBMAST-Weekday-17,8:59:00,8:59:00,4531,27,0,0
20816647-2013-COMBMAST-Weekday-17,8:59:00,8:59:00,4531,41,0,0
20808898-2013-COMBMAST-Weekday-17,9:02:00,9:02:00,4531,36,0,0
20816407-2013-COMBMAST-Weekday-17,9:02:00,9:02:00,4531,42,0,0
20808816-2013-COMBMAST-Weekday-17,9:04:00,9:04:00,4531,31,0,0
20817239-2013-COMBMAST-Weekday-17,9:04:00,9:04:00,4531,12,0,0
20817372-2013-COMBMAST-Weekday-17,9:04:00,9:04:00,4531,5,0,0
20816830-2013-COMBMAST-Weekday-17,9:05:00,9:05:00,4531,20,0,0
20808706-2013-COMBMAST-Weekday-17,9:11:00,9:11:00,4531,12,0,0
20817226-2013-COMBMAST-Weekday-17,9:15:00,9:15:00,4531,56,0,0
20808286-2013-COMBMAST-Weekday-17,9:16:00,9:16:00,4531,44,0,0
20808842-2013-COMBMAST-Weekday-17,9:19:00,9:19:00,4531,27,0,0
20817469-2013-COMBMAST-Weekday-17,9:19:00,9:19:00,4531,5,0,0
20817331-2013-COMBMAST-Weekday-17,9:20:00,9:20:00,4531,38,0,0
20808159-2013-COMBMAST-Weekday-17,9:21:00,9:21:00,4531,41,0,0
20807438-2013-COMBMAST-Weekday-17,9:22:00,9:22:00,4531,31,0,0
20814465-2013-COMBMAST-Weekday-17,9:22:00,9:22:00,4531,20,0,0
20808970-2013-COMBMAST-Weekday-17,9:23:00,9:23:00,4531,31,0,0
20816771-2013-COMBMAST-Weekday-17,9:23:00,9:23:00,4531,6,0,0
20817043-2013-COMBMAST-Weekday-17,9:24:00,9:24:00,4531,20,0,0
20816960-2013-COMBMAST-Weekday-17,9:28:00,9:28:00,4531,12,0,0
20817301-2013-COMBMAST-Weekday-17,9:28:00,9:28:00,4531,36,0,0
20810272-2013-COMBMAST-Weekday-17,9:30:00,9:30:00,4531,11,0,0
20816702-2013-COMBMAST-Weekday-17,9:33:00,9:33:00,4531,42,0,0
20817056-2013-COMBMAST-Weekday-17,9:34:00,9:34:00,4531,5,0,0
20817200-2013-COMBMAST-Weekday-17,9:36:00,9:36:00,4531,20,0,0
20815781-2013-COMBMAST-Weekday-17,9:37:00,9:37:00,4531,27,0,0
20807496-2013-COMBMAST-Weekday-17,9:41:00,9:41:00,4531,38,0,0
20808014-2013-COMBMAST-Weekday-17,9:43:00,9:43:00,4531,20,0,0
